Season,Club,Manager,Income,Expenditure,OverallBalance,LigaInggris,FACup,PialaLiga,UCL,UEL,SeasonIndex
2012-2013,United,Sir Alex Ferguson,9.65,76.45,-66.8,1,R6,R16,R16,-,3.5
2013-2014,United,David Moyes,1.8,77.13,-75.33,7,R3,SF,QF,-,3.22857142857143
2014-2015,United,Luis Van Gaal,46.7,195.35,-148.65,4,R6,R2,-,-,3.26428571428571
2015-2016,United,Luis Van Gaal,100.67,156,-55.33,5,C,R16,GS,R16,3.84285714285714
2016-2017,United,Jose Mourinho,47.25,185,-137.75,6,R6,C,-,C,4.41071428571429
2017-2018,United,Jose Mourinho,45.5,198.4,-152.9,2,F,QF,R16,-,3.63928571428571
2018-2019,United,Jose Mourinho,30.55,82.7,-52.15,6,R6,R3,QF,-,3.23214285714286
2019-2020,United,Ole Gunnar Solskjaer,81.18,234.8,-153.62,3,SF,SF,-,SF,4.27857142857143
2020-2021,United,Ole Gunnar Solskjaer,19.5,83.8,-64.3,2,R6,SF,GS,F,4.425
2021-2022,United,Ole Gunnar Solskjaer,30.7,140,-109.3,6,R4,R3,R16,-,2.91071428571429
,,SUM,413.5,1429.63,-1016.13,,,,,,
,,Average,41.35,142.963,-101.613,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,EPL,,,,,,,,
Liga Inggris = 1/20 ,,,1,3,,EFL,R2,1,0.142857142857143,,
FA Cup = 1/7 = start from 3rd round,,,2,2.85,,,R3,2,0.285714285714286,,
Carabao = 1/7 = 1 = start from 2nd round,,,3,2.7,,,R16,3,0.428571428571429,,
UCL = 1/6 start from GS,,,4,2.55,,,QF,4,0.571428571428571,,
UEL = 1/7 start from GS,,,5,2.4,,,SF,5,0.714285714285714,,
,,,6,2.25,,,F,6,0.857142857142857,,
,,,7,2.1,,,Champions,7,1,,
,,,8,1.95,,,,,,,
,,,9,1.8,,FA,R3,1,0.142857142857143,,
,,,10,1.65,,,R4,2,0.285714285714286,,
,,,11,1.5,,,R5,3,0.428571428571429,,
,,,12,1.35,,,R6,4,0.571428571428571,,
,,,13,1.2,,,SF,5,0.714285714285714,,
,,,14,1.05,,,F,6,0.857142857142857,,
,,,15,0.9,,,Champions,7,1,,
,,,16,0.75,,,,,,,
,,,17,0.6,,UCL,GS,1,0.5,,
,,,18,0.45,,,R16,2,1,,
,,,19,0.3,,,QF,3,1.5,,
,,,20,0.15,,,SF,4,2,,
,,,,,,,F,5,2.5,,
,,,,,,,C,6,3,,
,,,,,,,,,,,
,,,,,,UEL,GS,1,0.285714285714286,,
,,,,,,,R32,2,0.571428571428571,,
,,,,,,,R16,3,0.857142857142857,,
,,,,,,,QF,4,1.14285714285714,,
,,,,,,,SF,5,1.42857142857143,,
,,,,,,,F,6,1.71428571428571,,
,,,,,,,C,7,2,,
